book_title,author,genre,page_count,read_date,my_rating,format
Fourth Wing,Rebecca Yarros,Fantasy,672,2025-12-01,4.0,Physical
Iron Flame,Rebecca Yarros,Fantasy,944,2026-01-01,3.0,Physical
Onyx Storm,Rebecca Yarros,Fantasy,442,2026-01-01,3.0,Physical
Rock Paper Scissors,Alice Feeney,Horror & Thriller,305,2026-01-01,4.5,Physical
The Teacher,Freida Mcfadden,Horror & Thriller,344,2026-01-01,4.0,Kindle
Project Hail Mary,Andy Weir,Sci-Fi,536,2026-01-01,5.0,Kindle
Powerless,Lauren Roberts,Fantasy,497,2026-01-01,4.0,Kindle
Powerful,Lauren Roberts,Fantasy,198,2026-01-01,5.0,Kindle
Reckless,Lauren Roberts,Fantasy,354,2026-01-01,3.0,Kindle
Fearless,Lauren Roberts,Fantasy,524,2026-01-01,2.0,Kindle
Never Lie,Freida Mcfadden,Horror & Thriller,358,2026-02-01,4.0,Physical
Artemis,Andy Weir,Sci-Fi,305,2026-02-01,4.0,Kindle
Hamnet,Maggie O'Farrell,Historical Fiction,372,2026-02-01,4.0,Physical
Ward D,Freida Mcfadden,Horror & Thriller,338,2026-02-01,5.0,Physical
Reminders Of Him,Colleen Hoover,Romance,336,2026-01-01,4.0,Kindle
Verity,Colleen Hoover,Horror & Thriller,336,2026-03-01,5.0,Kindle
A Court Of Thorns And Roses,Sarah J. Maas,Fantasy,432,2025-12-01,4.0,Kindle
A Court Of Mist And Fury,Sarah J. Maas,Fantasy,624,2025-12-01,5.0,Kindle
A Court Of Wings And Ruin,Sarah J. Maas,Fantasy,705,2025-12-01,5.0,Physical
A Court Of Frost And Starlight,Sarah J. Maas,Fantasy,229,2025-12-01,3.0,Physical
A Court Of Silver Flames,Sarah J. Maas,Fantasy,442,2025-12-01,4.0,Physical
