book_title,author,genre,page_count,read_date,my_rating,format
"Fourth Wing",rebecca yarros,Fantasy,672,2025-12,4,Physical
" Iron Flame",Rebecca Yarros,FANTASY,944,2026-01,3,physical
"Onyx Storm",REBECCA YARROS,Fantasy,,2026-01,3,Physical
"Rock Paper Scissors",Alice Feeney,Horror & Thriller,305,2026.01,4.5,Physical
"The Teacher",Freida Mcfadden,horror-thriller,344,01/2026,4,Kindle
"Project Hail Mary",Andy Weir,Sci-Fi,536,2026-01,5,digital
"Powerless",Lauren Roberts,Fantasy,497,2026-01,4,Kindle
"Powerful",lauren roberts,Fantasy,198,,5,Kindle
"Reckless",Lauren Roberts,Fantasy,354,2026-01,3,KINDLE
"Fearless ",Lauren Roberts,Fantasy,524,2026-01,2,Kindle
"Never Lie",Freida Mcfadden,Horror & Thriller,358,2026-02,4,physical
"Artemis",Andy Weir,scifi,305,2026-02,4,Kindle
"Hamnet",Maggie O'Farrell,Historical Fiction,372,2026-02,4,Physical
"Ward D",Freida Mcfadden,Horror & Thriller,338,2026-02,5,Physical
"Reminders of Him",Colleen Hoover,Romance,336,,4,Kindle
"Verity ",Colleen Hoover,Horror & Thriller,336,2026-03,5,Kindle
"A Court of Thorns and Roses",Sarah J. Maas,Fantasy,432,2025-12,4,e-book
"A Court of Mist and Fury",sarah j. maas,FANTASY,624,2025-12,5,Kindle
"A Court of Wings and Ruin",Sarah J. Maas,Fantasy,705,2025-12,5,physical
"A Court of Frost and Starlight",Sarah J. Maas,Fantasy,229,2025-12,3,Physical
"A Court of Silver Flames",Sarah J. Maas,Fantasy,,2025-12,4,Physical
